TransactionID,ItemName,Category,Quantity,UnitPrice,TotalCost,PurchaseDate,Supplier,Buyer,LeakageScore,RiskLevel
TXN001,Desk Chair,Furniture,10,113.15,1131.5,2024-04-19,TechMart Inc.,Kelly Joseph,20,Low
TXN002,Stapler,Office Supplies,16,12.62,201.92,2024-07-06,CloudSoft Corp.,Kelly Joseph,20,Low
TXN003,Annual Software License,Software,1,5649.34,5649.34,2024-09-10,TechMart Inc.,Kelly Joseph,20,Low
TXN004,Notepad,Stationery,13,2.92,37.96,2024-01-21,FurniWorks Ltd.,Luis Holland,20,Low
TXN005,Notepad,Stationery,19,1.39,26.41,2024-02-03,TechMart Inc.,Cynthia Jenkins,20,Low
TXN006,Printer,Electronics,19,150.94,2867.86,2024-11-28,FurniWorks Ltd.,Stephanie Bennett,20,Low
TXN007,Notepad,Stationery,8,2.73,21.84,2024-02-19,OfficeSupplies Co.,Todd James,20,Low
TXN008,Notepad,Stationery,4,2.42,9.68,2024-09-11,FurniWorks Ltd.,Aaron Hopkins,20,Low
TXN009,Printer Ink,Stationery,13,11.89,154.57,2024-04-12,FurniWorks Ltd.,Kevin Adams,20,Low
TXN010,Whiteboard,Furniture,19,100.82,1915.58,2024-12-14,FurniWorks Ltd.,Aaron Hopkins,20,Low
TXN011,Annual Software License,Software,1,8183.91,8183.91,2024-01-13,QuickDeliver Ltd.,Aaron Hopkins,20,Low
TXN012,Notepad,Stationery,14,2.92,40.88,2024-08-01,FurniWorks Ltd.,Walter Pena,20,Low
TXN013,Stapler,Office Supplies,15,8.4,126.0,2024-01-17,FurniWorks Ltd.,Jasmine Mcgee,20,Low
TXN014,Whiteboard,Furniture,20,111.86,2237.2,2024-04-12,FurniWorks Ltd.,Dawn Padilla,20,Low
TXN015,Notepad,Stationery,17,1.41,23.97,2024-12-30,QuickDeliver Ltd.,Stephanie Bennett,20,Low
TXN016,Monitor,Electronics,6,263.79,1582.74,2024-11-06,QuickDeliver Ltd.,Walter Pena,20,Low
TXN017,Laptop Bag,Accessories,2,32.0,64.0,2024-08-10,FurniWorks Ltd.,Amy Warner,20,Low
TXN018,Laptop Bag,Accessories,16,42.02,672.32,2024-09-02,FurniWorks Ltd.,Lisa Parks,20,Low
TXN019,Laptop,Electronics,19,815.19,15488.61,2024-10-22,TechMart Inc.,Jasmine Mcgee,50,Medium
TXN020,Monitor,Electronics,9,336.61,3029.49,2024-03-03,QuickDeliver Ltd.,Jasmine Mcgee,20,Low
